"Zip.Code","Incidence","Year"
94502,71.2,2014
94503,66.3,2014
94505,54.9,2014
94506,28.4,2014
94509,152.4,2014
94510,47.6,2014
94513,64.8,2014
94518,66.6,2014
94519,118.1,2014
94520,105,2014
94521,57.1,2014
94523,46.7,2014
94526,30.5,2014
94530,55.8,2014
94531,110.8,2014
94533,130.2,2014
94534,45.8,2014
94536,65,2014
94538,81.2,2014
94539,21,2014
94541,131.3,2014
94542,102.9,2014
94544,116.4,2014
94545,140.2,2014
94546,79,2014
94547,85,2014
94549,24.9,2014
94550,38.8,2014
94551,31.2,2014
94552,32.4,2014
94553,63.8,2014
94555,59.3,2014
94558,68.6,2014
94559,63.3,2014
94560,82.6,2014
94561,82.5,2014
94564,65.7,2014
94565,146.5,2014
94566,38,2014
94568,37.7,2014
94572,175.1,2014
94577,109.1,2014
94578,142.6,2014
94579,109.7,2014
94580,106.1,2014
94582,36.7,2014
94583,29.3,2014
94585,86.3,2014
94587,83.5,2014
94588,30.4,2014
94589,188,2014
94590,205.6,2014
94591,124.4,2014
94596,36.7,2014
94597,36.5,2014
94598,39.6,2014
94601,153.5,2014
94602,91.4,2014
94603,210.3,2014
94605,224.5,2014
94606,146.8,2014
94607,230.8,2014
94608,203.3,2014
94609,176.9,2014
94610,87.5,2014
94611,31.2,2014
94612,269.8,2014
94619,115.5,2014
94621,269.1,2014
94702,85.6,2014
94703,167.8,2014
94706,65.3,2014
94710,179,2014
94801,226.8,2014
94803,108.9,2014
94804,216.1,2014
94805,138.3,2014
94806,149.1,2014
94901,49.8,2014
94903,33.1,2014
94925,61,2014
94928,54.7,2014
94931,83,2014
94941,35.1,2014
94945,42.2,2014
94947,64.9,2014
94949,57.7,2014
94952,49.6,2014
94954,65.9,2014
95003,30.1,2014
95008,26.5,2014
95012,123.1,2014
95014,10.8,2014
95019,232.9,2014
95020,79,2014
95023,75.1,2014
95035,30.4,2014
95037,41.5,2014
95050,33.8,2014
95051,33.8,2014
95054,29.1,2014
95060,44.2,2014
95062,27.9,2014
95076,93.3,2014
95110,52.9,2014
95111,58.4,2014
95112,40.7,2014
95116,71.2,2014
95117,39.8,2014
95118,51,2014
95119,69.8,2014
95120,15.3,2014
95121,45.1,2014
95122,72.1,2014
95123,46.7,2014
95124,29.7,2014
95125,30.3,2014
95126,40.3,2014
95127,57.2,2014
95128,46.3,2014
95129,24.4,2014
95131,36.7,2014
95132,41.9,2014
95133,49.7,2014
95136,55,2014
95138,25.9,2014
95148,47.5,2014
95202,178.4,2014
95203,151.1,2014
95204,78.1,2014
95205,116,2014
95206,111.1,2014
95207,93.7,2014
95209,73.8,2014
95210,91.1,2014
95212,80.2,2014
95215,58.5,2014
95219,42.4,2014
95240,70.3,2014
95242,54.9,2014
95252,118.2,2014
95301,117.3,2014
95304,71.7,2014
95307,81.5,2014
95315,130.5,2014
95316,106.8,2014
95320,53,2014
95322,87.3,2014
95324,72.5,2014
95326,44.1,2014
95330,98.7,2014
95334,81.4,2014
