"Zip.Code","Incidence","Year"
95437,62.6,2013
95446,25.5,2013
95448,33.5,2013
95451,34.9,2013
95453,44.4,2013
95457,173.5,2013
95458,100.2,2013
95464,73.9,2013
95470,50.4,2013
95472,29,2013
95476,14.4,2013
95482,63.9,2013
95490,67,2013
95492,33.7,2013
95501,87.4,2013
95503,57.2,2013
95519,64.4,2013
95521,40.5,2013
90001,70.4,2014
90002,74.6,2014
90003,81.8,2014
90004,23.3,2014
90005,26.5,2014
90006,36,2014
90007,42.8,2014
90008,77.5,2014
90011,51.7,2014
90012,18.4,2014
90013,87.4,2014
90014,82,2014
90015,49.4,2014
90016,62.7,2014
90017,71.6,2014
90018,60.3,2014
90019,36.2,2014
90020,17.7,2014
90021,89.8,2014
90022,48.5,2014
90023,54.5,2014
90024,10.2,2014
90025,15.3,2014
90026,19.1,2014
90027,21.2,2014
90028,37.3,2014
90029,36.2,2014
90031,29.3,2014
90032,46,2014
90033,73.1,2014
90034,23.8,2014
90035,31.9,2014
90036,20.1,2014
90037,75.8,2014
90038,25.9,2014
90039,38.6,2014
90040,27.2,2014
90041,30.2,2014
90042,34.3,2014
90043,88,2014
90044,91.4,2014
90045,18.5,2014
90046,10.8,2014
90047,101.9,2014
90048,21.8,2014
90049,8.6,2014
90056,43.6,2014
90057,38.2,2014
90059,80.3,2014
90061,83,2014
90062,73.6,2014
90063,40.2,2014
90064,18.8,2014
90065,50,2014
90066,20.6,2014
90068,11.4,2014
90069,15.9,2014
90201,35.8,2014
90210,9.2,2014
90211,26.9,2014
90212,18.5,2014
90220,82.1,2014
90221,70.2,2014
90222,79.3,2014
90230,23.6,2014
90232,29.2,2014
90240,28.8,2014
90241,31.4,2014
90242,38,2014
90247,46.6,2014
90248,24.5,2014
90249,63.7,2014
90250,53.3,2014
90254,10.5,2014
90255,46.1,2014
90260,37.7,2014
90262,54.3,2014
90265,10.7,2014
90266,8.7,2014
90270,47.9,2014
90272,20.1,2014
90274,16.6,2014
90275,8.4,2014
90277,14.6,2014
90278,17.8,2014
90280,30.4,2014
90291,17.9,2014
90292,23,2014
90293,9.1,2014
90301,65.3,2014
90302,57.9,2014
90303,64.9,2014
90304,41.4,2014
90305,75.9,2014
90401,67.9,2014
90403,16.4,2014
90404,40.6,2014
90405,23.1,2014
90501,38.8,2014
90502,30.8,2014
90503,19,2014
90504,22.9,2014
90505,13.6,2014
90601,43.4,2014
90602,57.7,2014
90603,28.1,2014
90604,43.6,2014
90605,33.9,2014
90606,38.1,2014
90620,35.8,2014
90621,43.4,2014
90623,13.8,2014
90630,21.8,2014
90631,31,2014
90638,25.8,2014
90640,37.2,2014
90650,38.2,2014
90660,42.6,2014
90670,33.1,2014
90680,40,2014
90701,18,2014
90703,29.8,2014
90704,43.9,2014
90706,43.6,2014
90710,29,2014
90712,142,2014
90713,20.3,2014
90715,45,2014
90716,45.5,2014
90717,38.3,2014
90720,17.6,2014
90723,35.2,2014
90731,54.7,2014
90732,19.4,2014
90740,23.6,2014
90744,48.3,2014
90745,32.4,2014
90746,49,2014
90755,46.5,2014
90802,58,2014
90803,16.5,2014
90804,66.2,2014
90805,59.8,2014
90806,81,2014
90807,38.1,2014
90808,24,2014
90810,38,2014
90813,119.9,2014
90814,32.8,2014
90815,16.5,2014
91001,29.4,2014
91006,17,2014
91007,13.7,2014
91010,31.1,2014
91011,13.4,2014
91016,27.2,2014
91020,31.5,2014
91030,15.5,2014
91040,28.4,2014
91042,28.3,2014
91101,18.1,2014
91103,41.9,2014
91104,27.9,2014
91105,23.8,2014
91106,16.7,2014
91107,16.3,2014
91201,29.5,2014
91202,19.7,2014
91203,23.5,2014
91204,63.7,2014
91205,37.3,2014
91206,18,2014
91208,12,2014
91214,36.7,2014
91301,18.4,2014
91302,10.7,2014
91303,52.9,2014
91304,37.6,2014
91306,43.1,2014
91307,28.3,2014
91311,31.3,2014
91316,48,2014
91320,18.8,2014
91321,28,2014
91324,44.9,2014
91325,36.4,2014
91326,20.1,2014
91331,57.5,2014
91335,46.2,2014
91340,55.8,2014
91342,45,2014
91343,64,2014
91344,25.4,2014
91345,50.8,2014
91350,34.3,2014
91351,26.9,2014
91352,60.5,2014
91354,12.8,2014
91355,17.7,2014
91356,47.9,2014
91360,19.6,2014
91361,15.4,2014
91362,18.3,2014
91364,18.7,2014
91367,30.7,2014
91381,21.4,2014
91384,18.4,2014
91387,43.4,2014
91390,14.4,2014
91401,36,2014
91402,74.8,2014
91403,34.2,2014
91405,73.5,2014
91406,48.3,2014
91411,62.5,2014
91423,25,2014
91436,23.4,2014
91501,28.2,2014
91502,25.2,2014
91504,22.3,2014
91505,27.3,2014
91506,40.2,2014
91601,37.4,2014
91602,26.3,2014
91604,18.5,2014
91605,52,2014
91606,45,2014
91607,29.4,2014
91701,20.1,2014
91702,43.2,2014
91706,43.8,2014
91708,35.6,2014
91709,16,2014
91710,35.5,2014
91711,17.8,2014
91722,36.6,2014
91723,40.5,2014
91724,34.5,2014
91730,30.1,2014
91731,32.5,2014
91732,46.1,2014
91733,40.5,2014
91737,20.1,2014
91739,23.2,2014
91740,38.3,2014
91741,24.5,2014
91744,45.4,2014
91745,25.2,2014
91746,25.7,2014
91748,18.9,2014
91750,27,2014
