"Year","Month","COUNTY","Date","NO2","O3","PM2.5"
2015,6,"Los Angeles",2015-06-01,22.3,73.9512195121951,49.9714285714286
2015,6,"Marin",2015-06-01,14.3333333333333,28,36.75
2015,6,"San Bernardino",2015-06-01,29.9130434782609,99.2439024390244,49.5625
2015,6,"San Francisco",2015-06-01,9.33333333333333,22.3333333333333,28.6666666666667
2015,6,"San Mateo",2015-06-01,8.33333333333333,30.25,11.3333333333333
2015,6,"Santa Clara",2015-06-01,19.5714285714286,40.0769230769231,27
2015,6,"Stanislaus",2015-06-01,17.3333333333333,97.8571428571429,30.4285714285714
2015,6,"Calaveras",2015-06-01,NA,114,20.6666666666667
2015,7,"Imperial",2015-07-01,13.4285714285714,39.7692307692308,38.6363636363636
2015,7,"Los Angeles",2015-07-01,16.3023255813953,46.175,41.8
2015,7,"Marin",2015-07-01,6,21.5,15.25
2015,7,"San Bernardino",2015-07-01,20.8,77.025641025641,54.6
2015,7,"San Francisco",2015-07-01,5.33333333333333,23.6666666666667,14.5
2015,7,"San Mateo",2015-07-01,7.75,30.3333333333333,6
2015,7,"Santa Clara",2015-07-01,14.5,33.5333333333333,25.7692307692308
2015,7,"Stanislaus",2015-07-01,10.25,51.5,33.7142857142857
2015,7,"Calaveras",2015-07-01,NA,60,25.5
2015,8,"Imperial",2015-08-01,15.5714285714286,49.3333333333333,47
2015,8,"Los Angeles",2015-08-01,20.3414634146341,67.5609756097561,50.2564102564103
2015,8,"Marin",2015-08-01,9,30.3333333333333,5
2015,8,"San Bernardino",2015-08-01,32.5185185185185,90.675,48.15
2015,8,"San Francisco",2015-08-01,11.5,24.5,51.3333333333333
2015,8,"San Mateo",2015-08-01,16.3333333333333,28,15.25
2015,8,"Santa Clara",2015-08-01,12,48.6923076923077,46
2015,8,"Stanislaus",2015-08-01,19.3333333333333,54.1428571428571,36.625
2015,8,"Calaveras",2015-08-01,NA,65.6666666666667,23.6666666666667
2015,9,"Imperial",2015-09-01,17.5714285714286,39.6666666666667,41.2857142857143
2015,9,"Los Angeles",2015-09-01,25.75,64.5853658536585,45.6111111111111
2015,9,"Marin",2015-09-01,19.25,42.3333333333333,22.5
2015,9,"San Bernardino",2015-09-01,33.0434782608696,69.0263157894737,41.5789473684211
2015,9,"San Francisco",2015-09-01,25.3333333333333,24.3333333333333,28.3333333333333
2015,9,"San Mateo",2015-09-01,15.3333333333333,42.25,7
2015,9,"Santa Clara",2015-09-01,29.8333333333333,49.8571428571429,33.9090909090909
2015,9,"Stanislaus",2015-09-01,20,56,41.2857142857143
2015,9,"Calaveras",2015-09-01,NA,48.3333333333333,62
2015,10,"Imperial",2015-10-01,20.8333333333333,37.7272727272727,29.2307692307692
2015,10,"Los Angeles",2015-10-01,29.1951219512195,45.5909090909091,38.925
2015,10,"Marin",2015-10-01,23.3333333333333,31.3333333333333,33.75
2015,10,"San Bernardino",2015-10-01,31.25,46.219512195122,37.6818181818182
2015,10,"San Francisco",2015-10-01,28.5,29.6666666666667,20.25
2015,10,"San Mateo",2015-10-01,17.75,27.6666666666667,28.75
2015,10,"Santa Clara",2015-10-01,31.6666666666667,38.5384615384615,26
2015,10,"Stanislaus",2015-10-01,28,51.8571428571429,51.375
2015,10,"Calaveras",2015-10-01,NA,39.25,29.3333333333333
2015,11,"Imperial",2015-11-01,27.8571428571429,34.5714285714286,34.1428571428571
2015,11,"Los Angeles",2015-11-01,34.6808510638298,36.4102564102564,35.3714285714286
2015,11,"Marin",2015-11-01,32.6666666666667,25.75,18
2015,11,"San Bernardino",2015-11-01,39.8333333333333,38.2222222222222,33.4444444444444
2015,11,"San Francisco",2015-11-01,34.3333333333333,21.75,49.6666666666667
2015,11,"San Mateo",2015-11-01,21,26.3333333333333,19.6666666666667
2015,11,"Santa Clara",2015-11-01,29.4285714285714,26.25,42.5454545454545
